Person 1	2016-02-12T10:56:48.832	2016-02-12T11:20:04.983	------	------	-------	00:23:16.151	0.6106334254985185m
Person 2	2016-02-15T07:52:05.330	2016-02-15T07:53:04.809	------	------	-------	00:00:59.479	0.4629558549057018m
Person 3	2016-02-16T09:01:00.846	2016-02-16T11:07:53.815	------	------	-------	02:06:52.969	0.3178695513655874m
Person 4	2016-02-16T11:08:30.519	2016-02-16T11:10:42.286	------	------	-------	00:02:11.767	0.6513291654044553m
Person 5	2016-02-16T11:15:06.590	2016-02-16T11:22:21.565	------	------	-------	00:07:14.975	0.25412378339301583m
Person 6	2016-02-16T11:22:48.396	2016-02-16T11:49:38.386	------	------	-------	00:26:49.990	0.7506061895758076m
Person 7	2016-02-16T12:08:57.834	2016-02-16T12:09:26.967	------	------	-------	00:00:29.133	1.020597729271848m
Person 8	2016-02-16T12:09:45.333	2016-02-16T12:10:14.665	------	------	-------	00:00:29.332	0.3030770889542169m
Person 9	2016-02-16T12:11:35.468	2016-02-16T12:21:43.059	------	------	-------	00:10:07.591	0.9577057903639873m
Person 10	2016-02-16T12:26:13.193	2016-02-16T12:45:39.593	------	------	-------	00:19:26.400	0.3383194600985587m
Person 11	2016-02-16T12:46:37.361	2016-02-16T13:01:05.623	------	------	-------	00:14:28.262	0.2750983462090066m
Person 12	2016-02-16T13:03:34.060	2016-02-16T13:09:03.742	------	------	-------	00:05:29.682	0.7194950393391348m
Person 13	2016-02-17T08:35:24.590	2016-02-17T08:41:36.374	------	------	-------	00:06:11.784	0.2503699624715318m
Person 14	2016-02-17T08:43:04.714	2016-02-17T09:19:27.209	------	------	-------	00:36:22.495	0.5356389294225034m
Person 15	2016-02-17T09:19:39.670	2016-02-17T09:24:05.376	------	------	-------	00:04:25.706	0.5102689736206274m
Person 16	2016-02-17T09:24:34.357	2016-02-17T09:25:28.512	------	------	-------	00:00:54.155	0.7976730227255158m
Person 17	2016-02-17T09:25:48.542	2016-02-17T09:27:02.652	------	------	-------	00:01:14.110	0.3269761195146203m
Person 18	2016-02-17T09:27:21.921	2016-02-17T09:28:06.409	------	------	-------	00:00:44.488	0.4241475256913305m
Person 19	2016-02-17T09:30:33.772	2016-02-17T10:26:08.512	------	------	-------	00:55:34.740	0.18876764245810268m
Person 20	2016-02-17T10:51:04.679	2016-02-17T10:51:16.484	------	------	-------	00:00:11.805	0.49068836156375284m
Person 21	2016-02-17T15:55:25.671	2016-02-17T15:55:57.099	------	------	-------	00:00:31.428	0.3204446509557085m
Person 22	2016-02-17T15:56:05.542	2016-02-17T15:56:33.023	------	------	-------	00:00:27.481	0.2625245356374005m
Person 23	2016-02-12T10:56:49.821	2016-02-12T10:56:59.331	------	------	-------	00:00:09.510	1.2761889833477986m
Person 24	2016-02-12T10:57:10.734	2016-02-12T11:15:10.264	------	------	-------	00:17:59.530	0.6600937108463988m
Person 25	2016-02-12T11:15:30.227	2016-02-12T11:16:37.371	------	------	-------	00:01:07.144	0.287711266681802m
Person 26	2016-02-12T11:17:00.264	2016-02-12T11:20:04.259	------	------	-------	00:03:03.995	0.184756568194635m
Person 27	2016-02-15T07:52:08.017	2016-02-15T07:52:46.637	------	------	-------	00:00:38.620	0.164589746372087m
Person 28	2016-02-16T11:04:29.628	2016-02-16T11:05:02.749	------	------	-------	00:00:33.121	0.7997936683490465m
Person 29	2016-02-16T11:10:22.887	2016-02-16T11:10:33.816	------	------	-------	00:00:10.929	1.3057956593211038m
Person 30	2016-02-16T11:24:44.837	2016-02-16T11:49:36.476	------	------	-------	00:24:51.639	0.8561446153214466m
Person 31	2016-02-16T12:12:35.235	2016-02-16T12:14:24.791	------	------	-------	00:01:49.556	0.972858439184046m
Person 32	2016-02-16T12:15:12.063	2016-02-16T12:16:21.973	------	------	-------	00:01:09.910	0.4843488415387291m
Person 33	2016-02-16T12:16:32.499	2016-02-16T12:18:17.894	------	------	-------	00:01:45.395	1.2922846065902516m
Person 34	2016-02-16T12:20:11.064	2016-02-16T12:20:19.694	------	------	-------	00:00:08.630	0.8416031548207207m
Person 35	2016-02-16T12:20:29.337	2016-02-16T12:21:40.499	------	------	-------	00:01:11.162	1.7326989997084767m
Person 36	2016-02-16T12:38:02.039	2016-02-16T12:39:00.893	------	------	-------	00:00:58.854	0.4890167413723925m
Person 37	2016-02-16T12:41:35.491	2016-02-16T12:42:58.523	------	------	-------	00:01:23.032	1.2039643359715528m
Person 38	2016-02-16T12:45:27.962	2016-02-16T12:45:38.691	------	------	-------	00:00:10.729	0.6797054234616512m
Person 39	2016-02-16T13:03:53.873	2016-02-16T13:04:10.691	------	------	-------	00:00:16.818	0.945730982488169m
Person 40	2016-02-16T13:04:59.965	2016-02-16T13:05:52.931	------	------	-------	00:00:52.966	0.40898181826208346m
Person 41	2016-02-16T13:07:26.307	2016-02-16T13:07:54.730	------	------	-------	00:00:28.423	0.08264993700665046m
Person 42	2016-02-16T13:08:40.874	2016-02-16T13:08:49.800	------	------	-------	00:00:08.926	1.0620950006621215m
Person 43	2016-02-17T09:18:53.679	2016-02-17T09:19:51.545	------	------	-------	00:00:57.866	0.7225848498954864m
Person 44	2016-02-17T09:20:13.844	2016-02-17T09:23:54.325	------	------	-------	00:03:40.481	0.45260398097027726m
Person 45	2016-02-17T09:27:23.610	2016-02-17T09:28:00.819	------	------	-------	00:00:37.209	0.9464173674710614m
Person 46	2016-02-17T09:30:36.754	2016-02-17T09:30:56.679	------	------	-------	00:00:19.925	0.36092368473352593m
Person 47	2016-02-17T09:31:15.856	2016-02-17T09:31:27.648	------	------	-------	00:00:11.792	0.5358963586485905m
Person 48	2016-02-17T09:31:37.080	2016-02-17T09:32:42.447	------	------	-------	00:01:05.367	0.2331776494594041m
Person 49	2016-02-17T09:33:04.445	2016-02-17T09:33:28.745	------	------	-------	00:00:24.300	2.120704051731819m
Person 50	2016-02-17T09:33:39.240	2016-02-17T09:34:15.616	------	------	-------	00:00:36.376	1.299743887088834m
Person 51	2016-02-17T09:34:33.308	2016-02-17T09:36:18.632	------	------	-------	00:01:45.324	1.8407251175536314m
